流水號,名稱與備註,教授,學分,時間,教室,選修別,全與半,分發條件內容
00001LN0025-A,日文,王中成,3,一234/TR-A001,教研大樓-A001,選修,半,['學制:限學士班。']
00002LN0025-B,日文,張恆如,3,一ABC/O-214,綜教館-214,選修,半,['學制:限學士班。']
00003LN0025-C,日文,徐碧茹,3,五234/IL-116,國鼎光電大樓-116,選修,半,['學制:限學士班。學院:限理學院、工學院。']
00004LN0025-D,日文,洪韶翎,3,五234/I-015,志希館-015,選修,半,['學制:限學士班。']
00005LN0025-E,日文,余秋菊,3,五234/TR-A201,教研大樓-A201,選修,半,['學制:限學士班。']
00006LN0026-A,日文,張恆如,3,四678/TR-A202,教研大樓-A202,選修,半,"['學制:限學士班。指定課程:必須擋修LN0025。', '學制:限學士班。指定課程:必須擋修CI0102。']"
00007LN0026-B,日文,王中成,3,一567/TR-A203,教研大樓-A203,選修,半,"['學制:限學士班。指定課程:必須擋修CI0102。', '學制:限學士班。指定課程:必須擋修LN0025。']"
00008LN0026-C,日文,王中成,3,四234/TR-A201,教研大樓-A201,選修,半,"['學制:限學士班。指定課程:必須擋修LN0025。', '學制:限學士班。指定課程:必須擋修CI0102。']"
00009LN0026-D,日文,江任洸,3,一567/TR-A205,教研大樓-A205,選修,半,"['學制:限學士班。指定課程:必須擋修LN0025。', '學制:限學士班。指定課程:必須擋修CI0102。']"
00010LN0026-E,日文,楊漫恩,3,二567/TR-A205,教研大樓-A205,選修,半,"['學制:限學士班。指定課程:必須擋修LN0025。', '學制:限學士班。指定課程:必須擋修CI0102。']"
00011LN0026-F,日文,徐碧茹,3,二ABC/TR-A205,教研大樓-A205,選修,半,"['學制:限學士班。指定課程:必須擋修LN0025。', '學制:限學士班。指定課程:必須擋修CI0102。']"
00012LN0026-G,日文,洪韶翎,3,二789/IL-203,國鼎光電大樓-203,選修,半,"['學制:限學士班。學院:限理學院、工學院。指定課程:必須擋修LN0025。', '學制:限學士班。學院:限理學院、工學院。指定課程:必須擋修CI0102。']"
00013LN0026-H,日文,江任洸,3,四234/LH-106,校史館大講堂-106,選修,半,"['學制:限學士班。指定課程:必須擋修LN0025。', '學制:限學士班。指定課程:必須擋修CI0102。']"
00014LN0027-A,日文,王中成,3,四567/TR-A001,教研大樓-A001,選修,半,"['學制:限學士班。指定課程:必須擋修LN0026。', '學制:限學士班。指定課程:必須擋修CI0103。']"
00015LN0027-B,日文,張恆如,3,四ABC/TR-A202,教研大樓-A202,選修,半,"['學制:限學士班。指定課程:必須擋修LN0026。', '學制:限學士班。指定課程:必須擋修CI0103。']"
00016LN0028-A,日文,許孟蓉,3,五234/TR-A003,教研大樓-A003,選修,半,['學制:限學士班。指定課程:必須擋修LN0027。']
00017LN0028-B,日文,江任洸,3,一234/TR-A204,教研大樓-A204,選修,半,['學制:限學士班。指定課程:必須擋修LN0027。']
00019LN0035-*,日文,余秋菊,3,四234/E1-130,工程二館-130,選修,半,['學制:限學士班。指定課程:必須擋修LN0028。']
00020LN0043-A,德文,邱智銘,3,五789/TR-A205,教研大樓-A205,選修,半,['學制:限學士班。']
00021LN0043-B,德文,陳佳鈴,3,二678/E1-135,工程二館-135,選修,半,['學制:限學士班。']
00022LN0044-*,德文,陸夢蓮,3,四678/E1-136,工程二館-136,選修,半,['學制:限學士班。指定課程:必須擋修LN0043。']
00023LN0049-*,越南語一AVietnamese for Beginners,范垂玲,3,四234/TR-A205,教研大樓-A205,選修,半,['學制:限學士班。']
00024LN0050-*,泰文一AThai,陳瑞珠,3,四234/TR-A204,教研大樓-A204,選修,半,['學制:限學士班。']
00025LN0052-*,越南語一BPractical Vietnamese Conversations,范垂玲,3,四567/TR-A205,教研大樓-A205,選修,半,['學制:限學士班。']
00026LN0054-*,泰文一BThai,陳瑞珠,3,四567/E1-134,工程二館-134,選修,半,['學制:限學士班。']
00027LN0059-*,韓語一ABasic Korean,崔美羅,3,四234/I-015,志希館-015,選修,半,['學制:限學士班。']
00028LN0060-*,韓語一BBasic Korean,崔美羅,3,四567/I-015,志希館-015,選修,半,['學制:限學士班。指定課程:必須擋修LN0059。']
00029LN0065-A,法文,巫冠蓉,3,一234/TR-A203,教研大樓-A203,選修,半,['學制:限學士班。']
00030LN0065-B,法文,巫冠蓉,3,四234/TR-A203,教研大樓-A203,選修,半,['學制:限學士班。']
00031LN0066-*,法文,巫冠蓉,3,一567/TR-A204,教研大樓-A204,選修,半,['學制:限學士班。指定課程:必須擋修LN0065。']
00032LN0083-*,西班牙文,古岱育,3,一123/O-214,綜教館-214,選修,半,['學制:限學士班。']
00033LN0084-*,西班牙文,陳碧芬,3,一789/TR-A001,教研大樓-A001,選修,半,['學制:限學士班。指定課程:必須擋修LN0083。']
00034LN0109-*,廣電新聞聽解Listening Comprehension of Chinese Broadcasting and TV News限華語程度為中高級之外籍生及僑生,劉慧娟,3,五567/TR-A202,教研大樓-A202,選修,半,"['身份:限外籍生。', '身份:限僑生。']"
00035LN0204-*,實用華語閱讀與寫作Practical Chinese Reading and Writing限華語程度為中高級之外籍生及僑生,劉慧娟,3,二567/TR-A206,教研大樓-A206,選修,半,"['身份:限外籍生。', '身份:限僑生。']"
00036LN0314-*,華語文教學實習Chinese Language Teaching Practicum華語文教學學分學程必修課程,李明懿劉慧娟,2,三Z/TR-A201四Z/TR-A201,教研大樓-A201,選修,半,['指定課程:必須先修LN7005、先修LN7004、先修LN7003。']
